timestamps node_ids
34.67900448688728 1
39.46920959198648 16
60.12116031022386 40
64.35242098062568 9
66.08129509922618 50
85.36101590593964 36
98.98145136886201 32
102.50932219360563 50
103.59225313040395 5
108.87666155507839 48
139.56859106310188 33
146.32444935956678 55
174.0833502615173 29
195.05388146284224 45
254.24630327728997 51
269.2800550626519 18
275.87341849231746 1
280.61304428722957 17
285.0083407896892 17
285.4320350986232 59
297.6810396705915 46
322.36821202430923 27
334.3461299002614 50
347.8438753923824 22
349.02824191103696 57
370.4922638577463 47
379.48091894524214 26
381.26648707741305 47
395.1824074955 58
395.8623575492083 43
410.8850960006747 3
425.2105220866698 33
452.9648494908131 39
471.9033085992951 21
478.9387941214974 4
492.14048508269667 30
501.45019588298834 0
509.57874054272776 40
553.2983252094226 58
592.3100026742945 53
598.2035144398765 43
630.3014994871413 26
652.005921796931 57
659.1579792525652 35
659.6672777555057 29
675.5727036934088 36
678.8255733996165 40
694.1003425111312 13
729.5524106239762 6
731.7761726288935 56
733.6311364957946 29
738.7145512017963 54
751.8845878883639 52
753.4999530345931 44
770.3167191163393 54
777.5072309582031 36
800.8918775216246 45
837.2144556854804 41
840.7440794728558 23
865.5523785786346 31
869.0053705955152 38
891.235328997374 52
891.3892417391894 26
932.551822255472 9
938.8146465562537 5
957.8424626839583 28
1001.0682348325864 22
1022.6090089421665 54
1062.8793696701828 30
1064.1527408608677 15
1066.1971462855995 46
1072.956134187664 27
1080.3860503563174 31
1082.7096855156456 26
1085.3510337155485 1
1102.342794219056 40
1110.059087200448 1
1120.8049873015302 25
1128.0768574726858 2
1147.4757280431031 55
1181.9131066878435 54
1184.7872988201389 42
1185.3943221900886 51
1249.4019815817721 39
1272.644904939782 52
1281.3430660525019 4
1286.1624435588628 17
1290.3593618484879 19
1291.2158465027417 31
1295.4593998748117 52
1296.958677811611 6
1298.4083104598494 16
1324.1141089481093 48
1395.8607225229473 11
1432.9514225347775 40
1514.430655316634 54
1538.7177302996497 49
1538.7681523547417 8
1539.0382022833119 20
1544.5477676976084 51
1563.010433674256 26
1578.3745006569277 10
1587.519022469968 22
1673.5833499896544 13
1677.3087919091531 28
1681.1544893343917 5
1688.3157937753592 25
1696.942453285988 14
1700.4308315531282 37
1707.7798173377396 19
1719.7048347640603 58
1770.7371072561605 12
1775.8237903759239 12
1810.652255502614 51
1810.8191835604384 25
1827.7513074472477 5
1849.55950020931 18
1860.6784700417068 37
1890.512776393495 10
1905.471101381659 48
1941.2320874736456 50
1955.0043702673352 21
1959.2936827742178 55
1974.1920965064546 26
1975.9017695257658 1
1987.9058920295513 44
1988.90874293864 26
1997.9350257898514 53
2011.1876072599853 49
2020.6399001969348 22
2036.9093733277923 42
2052.217187403049 54
2086.870214894035 32
2096.78251534656 59
2111.265801971861 2
2124.397079611943 54
2134.81202575019 37
2150.85093902553 58
2201.606453450689 55
2237.4482834994105 50
2245.690678545585 10
2249.392065569282 27
2253.792955003595 21
2254.459235122822 30
2285.4254980079713 54
2289.6183398380504 43
2311.6616053146086 10
2351.0282201700443 21
2351.689934193234 52
2357.2236150288104 33
2363.593341445451 23
2402.0688225757503 47
2420.894245807345 17
2430.437699310294 40
2446.253108340391 29
2486.4412741647075 31
2494.9831469135297 3
2496.2690821188394 53
2506.0643276055534 28
2513.4563081756523 61
2541.249526151113 36
2572.342477941758 3
2575.528370045427 13
2580.742827608085 6
2611.9140728848797 34
2651.552830486809 7
2672.3911967521017 55
2688.6885316698736 32
2702.0190454667522 36
2712.501064871493 53
2744.3327511946654 41
2756.497642324006 20
2773.7519421781485 62
2794.3499221207285 56
2804.6808761173756 34
2806.907515528769 33
2852.021511068921 32
2856.5313251008915 23
2866.264571705381 45
2886.8084298719345 60
2909.3350061414017 34
2961.795953467766 3
2968.6967461315817 27
2969.5927220938856 14
2976.2015704948694 44
2992.88356637642 33
3031.2083542076207 61
3033.0647816100472 51
3035.5762167487183 49
3047.0918118101145 51
3054.6606917573604 52
3062.304186146107 38
3068.0474159148016 37
3079.9368954527345 11
3081.1409111397006 47
3095.5975137250884 37
3124.4678415901317 12
3176.4919844493893 9
3177.3597460573383 15
3182.369126354858 10
3187.2419532284443 41
3199.6398952306813 3
3212.0834540662763 43
3221.875983909428 14
3238.450253490595 22
3249.85592294649 43
3260.6379067243465 23
3273.8837781422394 52
3285.2954188472604 47
3292.231728046723 50
3317.582256861253 26
3331.911200283882 12
3351.6472825560586 18
3357.8675908024975 0
3370.977019271744 35
3379.036887005218 58
3407.776471911295 18
3424.000426180859 49
3430.1996517917282 35
3457.2907126502246 35
3461.794386039319 43
3490.680236359548 53
3501.0479171369234 13
3501.1200138136546 7
3523.535086298276 27
3542.52328341445 12
3545.487890530954 28
3557.6991070180097 32
3562.958368004069 28
3571.838301804407 33
3579.718980966935 46
3582.919672031544 3
3600.9425490016006 23
3617.981142592076 22
3619.578838148378 51
3626.048073347246 54
3638.4855309968607 46
3652.1132756045595 41
3670.319047483754 1
3703.4803358520726 15
3734.087917307914 58
3739.947917886627 14
3790.9483123442765 56
3798.893895198958 16
3814.1285072721976 40
3839.048786139708 3
3851.847519978276 62
3862.474879035524 16
3885.5791766730836 10
3898.0276088902556 56
3902.821202911323 16
3936.783559257551 60
3957.8286800179353 1
3962.3433036843326 62
4004.441157809976 21
4008.0318033622652 14
4014.6282492167597 62
4036.7087778844752 44
4038.1332327397813 8
4048.9088519021807 5
4059.3113506459677 61
4086.9438561072393 38
4088.224952477541 10
4117.008773718287 60
4117.162366234476 26
4130.717005437541 47
4145.0810251072935 18
4145.584116320204 23
4178.870139365031 31
4198.893382689186 48
4221.546315339759 57
4252.643272597923 46
4252.823513917479 36
4277.142058382242 19
4299.980394412659 12
4338.978072944048 12
4345.767829462658 29
4367.292764310056 0
4426.65188165427 9
4450.3202470044935 36
4458.9191849309345 17
4465.523248185693 3
4488.71285820383 50
4503.216345466278 57
4511.587058633378 8
4520.210507063028 19
4536.1106736126385 35
4545.516118863191 46
4546.974981237903 41
4547.0407913492445 1
4571.601163349482 42
4584.740163364361 20
4616.954791305441 17
4624.002747110917 35
4655.277567266955 37
4691.847202901516 60
4706.70699116274 43
4711.675326776649 55
4722.083145895682 15
4723.382825663026 10
4723.511580629528 52
4733.854408318508 27
4742.308888471426 5
4751.634540832801 35
4790.155891526404 6
4821.357372930445 28
4826.135479432134 61
4827.281964999359 18
4838.038536108046 32
4857.709796304104 43
4858.198228084816 57
4883.7338050099615 52
4893.920777276254 34
4909.317490026861 53
4913.58352260991 3
4918.878550953121 14
4934.272451714571 25
4976.744055218721 5
5006.164998674424 31
5024.876176616681 29
5042.046333857919 50
5053.784039523361 47
5092.2974556826 6
5096.235381701592 0
5124.846957721008 15
5131.092073181962 14
5139.484148015437 47
5140.072055772579 58
5155.016998582327 45
5156.707473761443 60
5190.66741021171 42
5209.897411524626 2
5219.056402231459 47
5223.328627306999 44
5246.417097457415 9
5247.956810278358 14
5250.562632360856 0
5271.247209199931 50
5274.405924006448 4
5279.231404246584 51
5290.001280738039 59
5296.285281885461 52
5302.647379461472 37
5306.836614936141 44
5385.696824851907 54
5390.94898466093 44
5391.909511566151 39
5451.931940963128 48
5457.472663124871 3
5521.599234242551 49
5524.110390463704 41
5576.444153099808 50
5586.23734713815 6
5598.2055815489875 40
5605.420843239217 58
5682.306204630613 26
5689.681387191416 19
5714.185724112522 44
5715.144887629376 13
5737.1999459893605 5
5740.698231507606 57
5744.0208732461 55
5754.562019767399 43
5757.472514227962 12
5764.841187502459 56
5786.301269991938 59
5809.9322053775995 2
5824.360783018059 18
5831.022095503193 7
5832.294978537009 58
5847.920883555045 56
5853.891160011695 48
5857.317674031084 28
5874.678006926408 6
5877.10618548652 16
5901.007685964527 35
5910.549822387922 46
5934.577879073784 40
5938.776073708442 52
5953.717203850967 2
5975.511660567032 8
5984.089300568461 3
6036.589190369143 53
6038.770831218461 37
6124.4869407339975 12
6144.550262068272 34
6176.780795385637 20
6184.836366145025 34
6186.996683535485 14
6214.453235240904 18
6217.444334494495 57
6238.776038100215 53
6251.882187537662 4
6258.232822639791 44
6259.459691282049 11
6263.531078602553 62
6284.3011138316215 37
6291.092058502466 61
6295.830434890749 50
6298.31426917815 13
6327.041863984799 61
6346.974002474278 21
6353.5146952263985 60
6364.226989713251 1
6402.759030916815 61
6476.127755768322 61
6498.849648701287 59
6500.620556599084 0
6516.749640376357 36
6516.826319294638 43
6553.513335186357 36
6583.305704697341 8
6616.746655095439 9
6617.002650359669 58
6625.796891694735 7
6627.163912647686 14
6627.941617496133 38
6684.690950287928 50
6694.427977095561 8
6706.068367349608 55
6713.869563182057 34
6715.645234774887 41
6734.389756655384 22
6740.480797634515 41
6743.401985815359 47
6750.958003103452 22
6773.420095586283 58
6789.424581625324 2
6803.903523048266 48
6858.607990659446 19
6881.844640027403 59
6894.0405546640595 52
6905.092838239175 53
6929.490642731547 11
6934.516755864342 44
6951.732095400082 36
6964.962158113906 36
6975.794783919311 32
6993.100862981166 8
6999.94620094145 44
7033.40853009267 18
7082.4503523633575 4
7091.904409166422 44
7110.3735738357245 43
7125.760931849201 47
7142.433613589174 33
7150.281116059727 23
7156.127439094193 3
7207.707573580976 34
7229.808710348447 33
7233.533099823959 12
7244.694101985233 48
7249.240825311452 15
7260.0938402426655 4
7266.441131193839 0
7292.925070723058 52
7314.962484878968 47
7349.678330185921 27
7364.292689907223 60
7366.689879071456 23
7405.140522758409 14
7413.596720553305 9
7446.56676315567 12
7493.744249070292 9
7494.149780555737 37
7498.680242637046 33
7509.657544121281 51
7537.399717550754 21
7593.642479493206 13
7611.032556314473 4
7627.521836965148 33
7642.945647295295 47
7650.065607940637 1
7677.271640009777 51
7677.807763209648 21
7678.982384556932 45
7688.554317970229 1
7707.5327497332355 33
7735.6393201369265 38
7742.667117696777 12
7751.619216147037 61
7757.485551473581 2
7774.171076670971 22
7777.618369904454 56
7777.7158465356715 44
7782.728582886759 9
7791.729875070402 50
7805.556094634501 50
7805.685730799299 50
7811.1382598876635 24
7826.76277955847 0
7832.380450970228 43
7836.125004507065 32
7851.008917247819 35
7863.942926586272 4
7886.065018802727 55
7895.5014265912805 46
7930.802486823184 16
7943.628861765303 5
7947.720712321803 3
7965.899093498373 62
8011.766353915434 0
8015.676799298887 11
8023.609987310059 31
8047.162708157579 17
8065.436303894603 24
8070.045314033176 40
8092.837885551176 49
8101.086520379265 49
8136.388056083853 55
8158.963099065199 55
8165.338260121494 4
8173.02023020338 20
8174.722954897856 44
8238.063677770258 8
8268.326215725812 58
8268.918641179976 44
8274.735840846208 22
8275.370065526773 46
8276.278955664575 51
8284.104079735398 49
8287.249615857256 56
8292.376114997258 10
8320.582155372158 17
8320.846414162226 27
8335.162130597653 31
8354.751191152347 26
8379.219116677305 22
8387.69172690515 36
8404.828433493698 30
8424.580887657386 43
8432.218882867375 43
8468.776419977768 0
8516.91433069579 13
8518.752166183962 2
8520.234259641147 52
