timestamps node_ids
0 0
0 7
0 8
0 6
0 5
0 4
0 3
0 2
0 9
0 1
80 2
80 0
80 9
80 3
80 7
80 1
80 4
80 6
80 8
80 5
160 0
160 6
160 8
160 9
160 4
160 3
160 1
160 2
160 5
160 7
240 9
240 8
240 6
240 5
240 4
240 7
240 3
240 2
240 1
240 0
625 4
625 2
625 5
625 1
625 9
625 3
625 8
625 0
625 7
625 6
705 8
705 5
705 4
705 6
705 9
705 3
705 2
705 1
705 0
705 7
785 2
785 4
785 8
785 9
785 1
785 5
785 0
785 6
785 3
785 7
865 9
865 8
865 6
865 0
865 1
865 2
865 7
865 4
865 5
865 3
1250 9
1250 0
1250 7
1250 1
1250 4
1250 8
1250 6
1250 2
1250 5
1250 3
1330 8
1330 4
1330 3
1330 2
1330 9
1330 1
1330 7
1330 0
1330 6
1330 5
1410 6
1410 5
1410 3
1410 4
1410 7
1410 2
1410 1
1410 9
1410 0
1410 8
1490 8
1490 9
1490 7
1490 5
1490 4
1490 3
1490 2
1490 1
1490 0
1490 6
1875 4
1875 2
1875 5
1875 1
1875 6
1875 8
1875 0
1875 7
1875 3
1875 9
1955 8
1955 5
1955 6
1955 4
1955 9
1955 3
1955 2
1955 1
1955 0
1955 7
2035 2
2035 4
2035 8
2035 9
2035 1
2035 5
2035 0
2035 6
2035 3
2035 7
2115 9
2115 8
2115 6
2115 0
2115 1
2115 2
2115 7
2115 4
2115 5
2115 3
2500 8
2500 0
2500 7
2500 1
2500 4
2500 9
2500 6
2500 2
2500 5
2500 3
2580 4
2580 3
2580 2
2580 6
2580 8
2580 1
2580 7
2580 0
2580 9
2580 5
2660 6
2660 5
2660 8
2660 4
2660 7
2660 2
2660 9
2660 1
2660 0
2660 3
2740 9
2740 8
2740 7
2740 6
2740 5
2740 4
2740 3
2740 2
2740 1
2740 0
3125 7
3125 8
3125 6
3125 5
3125 4
3125 9
3125 2
3125 3
3125 0
3125 1
3205 2
3205 7
3205 1
3205 3
3205 0
3205 4
3205 6
3205 9
3205 5
3205 8
3285 1
3285 6
3285 0
3285 8
3285 9
3285 4
3285 3
3285 7
3285 2
3285 5
3365 8
3365 9
3365 7
3365 5
3365 0
3365 1
3365 6
3365 3
3365 4
3365 2
3750 7
3750 8
3750 6
3750 5
3750 4
3750 9
3750 2
3750 3
3750 10
3750 1
3830 2
3830 7
3830 1
3830 3
3830 6
3830 4
3830 10
3830 9
3830 8
3830 5
3910 1
3910 6
3910 8
3910 10
3910 4
3910 9
3910 7
3910 2
3910 5
3910 3
3990 8
3990 9
3990 7
3990 5
3990 4
3990 3
3990 2
3990 1
3990 10
3990 6
4375 7
4375 8
4375 6
4375 5
4375 4
4375 3
4375 2
4375 9
4375 11
4375 10
4455 2
4455 7
4455 11
4455 3
4455 6
4455 4
4455 10
4455 9
4455 8
4455 5
4535 11
4535 6
4535 8
4535 10
4535 4
4535 9
4535 3
4535 2
4535 5
4535 7
4615 8
4615 9
4615 6
4615 5
4615 4
4615 3
4615 2
4615 11
4615 10
4615 7
5000 7
5000 6
5000 5
5000 4
5000 9
5000 3
5000 12
5000 8
5000 10
5000 11
5080 9
5080 12
5080 7
5080 11
5080 3
5080 8
5080 4
5080 6
5080 10
5080 5
5160 6
5160 8
5160 11
5160 10
5160 9
5160 4
5160 3
5160 7
5160 12
5160 5
5240 9
5240 8
5240 7
5240 6
5240 5
5240 4
5240 3
5240 12
5240 11
5240 10
5625 7
5625 6
5625 5
5625 4
5625 9
5625 12
5625 13
5625 8
5625 10
5625 11
5705 11
5705 12
5705 7
5705 9
5705 13
5705 8
5705 4
5705 6
5705 10
5705 5
5785 6
5785 8
5785 9
5785 10
5785 11
5785 4
5785 13
5785 7
5785 12
5785 5
5865 9
5865 8
5865 7
5865 6
5865 5
5865 4
5865 13
5865 12
5865 11
5865 10
6250 7
6250 6
6250 5
6250 14
6250 9
6250 12
6250 13
6250 8
6250 10
6250 11
6330 11
6330 12
6330 7
6330 9
6330 13
6330 8
6330 14
6330 6
6330 10
6330 5
6410 6
6410 8
6410 9
6410 10
6410 11
6410 14
6410 13
6410 7
6410 12
6410 5
6490 9
6490 8
6490 7
6490 6
6490 5
6490 14
6490 13
6490 12
6490 11
6490 10
6875 7
6875 8
6875 6
6875 15
6875 14
6875 13
6875 12
6875 9
6875 10
6875 11
6955 12
6955 7
6955 11
6955 13
6955 10
6955 14
6955 6
6955 9
6955 15
6955 8
7035 11
7035 6
7035 10
7035 8
7035 9
7035 14
7035 13
7035 12
7035 15
7035 7
7115 9
7115 8
7115 6
7115 15
7115 14
7115 13
7115 12
7115 11
7115 10
7115 7
7500 7
7500 16
7500 15
7500 14
7500 9
7500 13
7500 12
7500 8
7500 10
7500 11
7580 9
7580 12
7580 7
7580 11
7580 13
7580 8
7580 14
7580 16
7580 10
7580 15
7660 16
7660 8
7660 11
7660 10
7660 9
7660 14
7660 13
7660 7
7660 12
7660 15
7740 9
7740 8
7740 7
7740 16
7740 15
7740 14
7740 13
7740 12
7740 11
7740 10
8125 17
8125 8
8125 16
8125 15
8125 14
8125 13
8125 12
8125 9
8125 10
8125 11
8205 12
8205 17
8205 11
8205 13
8205 10
8205 14
8205 16
8205 9
8205 15
8205 8
8285 11
8285 16
8285 10
8285 8
8285 9
8285 14
8285 13
8285 12
8285 15
8285 17
8365 9
8365 8
8365 16
8365 15
8365 14
8365 13
8365 12
8365 11
8365 10
8365 17
8750 17
8750 18
8750 16
8750 15
8750 14
8750 13
8750 12
8750 9
8750 10
8750 11
8830 12
8830 17
8830 11
8830 13
8830 16
8830 14
8830 10
8830 9
8830 18
8830 15
