gid spike-times
20 0.0,501.0,1002.0,1503.0,2004.0,2505.0,3006.0,3507.0,4008.0,4509.0,5010.0,5511.0,6012.0,6513.0,7014.0,7515.0,8016.0,8517.0,9018.0,9519.0,10020.0,10521.0,11022.0,11523.0,12024.0,12525.0,13026.0,13527.0,14028.0,14529.0
1 501.0,1002.0,1503.0,2004.0,2505.0,3006.0,3507.0,4008.0,4509.0,5010.0,5511.0,6012.0,6513.0,7014.0,7515.0,8016.0,8517.0,9018.0,9519.0,10020.0,10521.0,11022.0,11523.0,12024.0,12525.0,13026.0,13527.0,14028.0,14529.0
12 1002.0,1503.0,2004.0,2505.0,3006.0,3507.0,4008.0,4509.0,5010.0,5511.0,6012.0,6513.0,7014.0,7515.0,8016.0,8517.0,9018.0,9519.0,10020.0,10521.0,11022.0,11523.0,12024.0,12525.0,13026.0,13527.0,14028.0,14529.0
28 1503.0,2004.0,2505.0,3006.0,3507.0,4008.0,4509.0,5010.0,5511.0,6012.0,6513.0,7014.0,7515.0,8016.0,8517.0,9018.0,9519.0,10020.0,10521.0,11022.0,11523.0,12024.0,12525.0,13026.0,13527.0,14028.0,14529.0
0 2004.0,2505.0,3006.0,3507.0,4008.0,4509.0,5010.0,5511.0,6012.0,6513.0,7014.0,7515.0,8016.0,8517.0,9018.0,9519.0,10020.0,10521.0,11022.0,11523.0,12024.0,12525.0,13026.0,13527.0,14028.0,14529.0
5 2505.0,3006.0,3507.0,4008.0,4509.0,5010.0,5511.0,6012.0,6513.0,7014.0,7515.0,8016.0,8517.0,9018.0,9519.0,10020.0,10521.0,11022.0,11523.0,12024.0,12525.0,13026.0,13527.0,14028.0,14529.0
17 3006.0,3507.0,4008.0,4509.0,5010.0,5511.0,6012.0,6513.0,7014.0,7515.0,8016.0,8517.0,9018.0,9519.0,10020.0,10521.0,11022.0,11523.0,12024.0,12525.0,13026.0,13527.0,14028.0,14529.0
4 3507.0,4008.0,4509.0,5010.0,5511.0,6012.0,6513.0,7014.0,7515.0,8016.0,8517.0,9018.0,9519.0,10020.0,10521.0,11022.0,11523.0,12024.0,12525.0,13026.0,13527.0,14028.0,14529.0
22 4008.0,4509.0,5010.0,5511.0,6012.0,6513.0,7014.0,7515.0,8016.0,8517.0,9018.0,9519.0,10020.0,10521.0,11022.0,11523.0,12024.0,12525.0,13026.0,13527.0,14028.0,14529.0
9 4509.0,5010.0,5511.0,6012.0,6513.0,7014.0,7515.0,8016.0,8517.0,9018.0,9519.0,10020.0,10521.0,11022.0,11523.0,12024.0,12525.0,13026.0,13527.0,14028.0,14529.0
2 5010.0,5511.0,6012.0,6513.0,7014.0,7515.0,8016.0,8517.0,9018.0,9519.0,10020.0,10521.0,11022.0,11523.0,12024.0,12525.0,13026.0,13527.0,14028.0,14529.0
27 5511.0,6012.0,6513.0,7014.0,7515.0,8016.0,8517.0,9018.0,9519.0,10020.0,10521.0,11022.0,11523.0,12024.0,12525.0,13026.0,13527.0,14028.0,14529.0
10 6012.0,6513.0,7014.0,7515.0,8016.0,8517.0,9018.0,9519.0,10020.0,10521.0,11022.0,11523.0,12024.0,12525.0,13026.0,13527.0,14028.0,14529.0
7 6513.0,7014.0,7515.0,8016.0,8517.0,9018.0,9519.0,10020.0,10521.0,11022.0,11523.0,12024.0,12525.0,13026.0,13527.0,14028.0,14529.0
6 7014.0,7515.0,8016.0,8517.0,9018.0,9519.0,10020.0,10521.0,11022.0,11523.0,12024.0,12525.0,13026.0,13527.0,14028.0,14529.0
26 7515.0,8016.0,8517.0,9018.0,9519.0,10020.0,10521.0,11022.0,11523.0,12024.0,12525.0,13026.0,13527.0,14028.0,14529.0
3 8016.0,8517.0,9018.0,9519.0,10020.0,10521.0,11022.0,11523.0,12024.0,12525.0,13026.0,13527.0,14028.0,14529.0
14 8517.0,9018.0,9519.0,10020.0,10521.0,11022.0,11523.0,12024.0,12525.0,13026.0,13527.0,14028.0,14529.0
16 9018.0,9519.0,10020.0,10521.0,11022.0,11523.0,12024.0,12525.0,13026.0,13527.0,14028.0,14529.0
8 9519.0,10020.0,10521.0,11022.0,11523.0,12024.0,12525.0,13026.0,13527.0,14028.0,14529.0
15 10020.0,10521.0,11022.0,11523.0,12024.0,12525.0,13026.0,13527.0,14028.0,14529.0
29 10521.0,11022.0,11523.0,12024.0,12525.0,13026.0,13527.0,14028.0,14529.0
24 11022.0,11523.0,12024.0,12525.0,13026.0,13527.0,14028.0,14529.0
21 11523.0,12024.0,12525.0,13026.0,13527.0,14028.0,14529.0
18 12024.0,12525.0,13026.0,13527.0,14028.0,14529.0
25 12525.0,13026.0,13527.0,14028.0,14529.0
19 13026.0,13527.0,14028.0,14529.0
13 13527.0,14028.0,14529.0
23 14028.0,14529.0
11 14529.0
