gid spike-times
0 5294.37738122652,6723.901327085525,9873.032288937356,11323.079334920669,11495.770407538037,14426.677030159459
1 507.2345961440765,3421.3219883394722,3792.0884890240263,8360.985008412747,9352.41407630024,10399.626223501213,10649.609876007438,12033.662905311072
2 4380.17754489001,6226.939289023823,10278.141191211147,10788.230336922912,11709.922880620416,14388.554286315944
3 3749.7256599824777,3860.6428591335252,5322.224021916261,11120.14356982572,14794.829574274983
4 979.7819514158596,1157.8607880076863,4026.9225447173385,9080.173546124945,11526.664494144638,11534.969645470803,13675.014095291259
5 2633.9801958730322,7632.438593090229,11111.70378578916,13955.794270808334
6 2219.4915732378395,3487.900512007938,6340.941090760825,10063.87505854069,10901.584768641065,12490.477339432928,14340.99956490618
7 454.47173651754315,4851.360894162511,7200.346272023161,14559.535557904848
8 771.2393678020817,3831.934411567367,4816.771485910164,9973.736624060375,11064.244147341466,11156.347795420952,14561.322034144585,14773.856863390176
9 682.3394726724921,1245.6505333014038,3550.368428715882,4713.428057316269,4852.877858924634,5224.363957809228,5895.438803609554,10279.798973732533
10 1037.1203993477327,2755.0382602757545,7634.304176415979,7707.089004369908,10243.530495911964,11449.350091087803
11 687.6423295292778,3675.037535523783,7125.029685329361,7590.830918685107,8098.589964126763,12392.3594545181,12965.732588257877
12 1256.6806458314102,5048.884373928869,10656.965242184224
13 175.3885391177985,1473.0867449009438,2148.712417517376,2839.191925463634,3249.961748890024,4505.364167774763,6312.571428986108,6519.348798895086,7454.294611918347,8608.769973735521,9497.26029250527,9595.959375976974,11906.586451297535,11968.287598468321,14691.534311718377
14 694.388466602457,2698.6457398846014,3978.5465143156425,4615.880041345108,8473.743504855358,8594.791738313417,11936.902717960991,12244.59086762492,12651.677878002378,13370.246637115872
15 678.825296016969,1790.6316140845593,3299.6301693114137,3872.570040505721,4245.876668749301,4574.4685201220245,10027.965694441302,10967.706575316957,12688.482516051261,13700.313536886191
16 938.9439491128411,2178.121581996351,5071.3482874206675,5457.256250125797,6548.664751882272,7089.976230833883,7493.182571212491
17 2341.820191511138,3972.280872855761,5575.819283701824,7825.644922116956,8119.317470744064
18 2085.620329108333,12398.92831416063,14689.242445614787
19 226.2945477064064,268.9245799317036,3872.8845762409455,5813.516160611218,7059.295192615556,7812.147681407608,8566.087775743277,10132.559084963224,11186.830083712408,11972.890152765176,12978.886547773045
20 3722.4682185550196,8347.375802792249,10881.07951831046,11519.624350556927,13831.905141094396
21 1786.3269447631405,1798.2682199743385,2861.422718431322,5649.01246369884,8304.377805529908,8327.96149459447,8481.5160909974,14599.774168808126
22 4989.747001570202,7078.119920637799,10595.929852535894,11199.988968300258,13736.313914100148
23 411.3410102719423,1718.748423921637,1789.1168279867766,10458.676350664382,10531.682649217277,12278.21721377039,12429.50371282754,13367.775396615441,13524.022245346112,13765.121023102229,14155.518108475073,14305.313973317147
24 1695.4020177225216,10640.011951301938,10748.40719931861,13558.169820389823
25 2030.1320961370268,8171.86181755855,8408.693678963462,10553.727234441265,13352.973733569683
26 4414.39304458834,11918.306996901074,12144.938689763347,13235.618047061344
27 5516.172038459106,9795.25532729056,12648.91745798653,14410.919120318138
28 721.1702698572296,1801.5197166583987,2652.747871501985,3601.08797330668,3891.3534146272455,4178.660699067208,5361.447570517045,8944.761964626272,9588.686683241824,10625.16685749578,11039.362225725168,11232.257966200652,13038.26553818283
29 1074.3987309532638,2192.746465815104,3646.9994584308606,5223.867452725439,9551.163335470466,9878.14783742154,10211.592337793949,10417.295533527677,10606.782397418874
30 2693.2877676930507,5800.209149365435,9679.125091923572
31 4979.442101472666,9089.105320840063,9408.947575408469,9451.325533454537,9780.177827222995,12536.346348111543,13989.62317871786,14141.063260344525,14307.174242240331
32 1110.5718191772874,6573.445604200515,6895.950146117006,8866.151435771337,9311.797741510345,11955.548892610586,14800.402613021895
33 498.90027353907885,902.7262576422105,1341.5693337961654,6554.6654343945,10189.164255990316,10423.034159662111,10875.853411780316,11181.598678145203
34 363.8952053387502,1517.025130276817,1601.5888781959773,4339.403039018842,8355.771779551076,8439.510541881264,9668.08581081037
35 639.963228430865,646.8868609268613,6508.846167689008,8591.2776126327,9735.235218263568
36 23.259757775330332,1763.6530954363823,2545.5048918660445,7060.391627506135,10284.533690488244,11477.406462580162,13723.499974140112
37 8435.970394084941,8549.523602426394,10119.921732955718,11975.459789861794,13007.184843730985
38 5.131054503259038,1427.7274815393462,1810.9692060391478,14112.98000471363,14252.31877707245
39 104.08389574399057,518.9742078501262,1086.195137062106,2316.703057282328,4305.883188509371,7192.264810226123,7797.954709197549,9284.421847444793,10014.017063307363,11562.90421325775,12245.337490852924,12847.122174537977,12877.26115759693,12898.92322415337,14377.743686782422
40 3742.3596204980813,4115.014260873736,4430.292912345688,7583.018316544122
41 4615.987872652781,5777.283707007748,8186.193891995676,9736.107019584184,11810.26915106248,12211.219267411874,13725.267474300443
42 5486.851727640413,7335.83697763254,13178.269092593313
43 1028.2776429818014,2374.960341470247,2789.8694770828324,5720.992399395142,5858.091929839745,9406.32646095464,9535.94210166732,10776.015436303765,11906.334088760774,13534.421349755814
44 1744.7589746791793,5330.7359096431055,6665.846066572658,6696.277007297531,7965.264595271462,11397.660984462618,13523.197604416719,14351.4883807945
45 132.1055939016767,6248.955729197434,8485.798444376049,10380.382471888872,10451.154531222059,12383.084466876411,13617.419098532631,13909.588427733628,14761.929457839007
46 1826.0416781450158,2976.877550336628,4730.9691752365725,6498.5745776920485,6640.075836528639,12693.806391216143
47 2619.682611390195,2968.4296113204537,4834.79183898687,5660.827429524331,7286.492221363307
48 5963.830985143483,6089.741968669316,11799.164007872407
49 1446.7240890391276,3736.9985347706006,3998.1580911799024,8418.594307840513,8523.282723603481,9506.257231430107,10796.738000974376
50 4579.675546626965,5138.661147069862,5420.344460840313,6660.254076247023,12299.111252917086,13953.243193486654,14427.750683025239
51 780.8377261155848,790.6740428117861,1384.772425313659,2354.2338061148457,3749.4763888924663,5010.414402499166,7213.160804184936,10204.804340379009,11723.990787704182,12926.912760459029
52 307.88687751422304,316.63437774782943,2903.4740581320234,3048.2844584076934,4975.507924082725,8322.00365035135,8411.061854007788,13708.731299640931,14774.649436689015
53 783.207620295035,8249.479589179766,9915.103372984164,11370.234974536519
54 97.86915933893542,5782.912209933787,6337.458616894362,12690.902411428546
55 913.9745092531476,5926.34430079502,7512.373041193644,9726.641358705067,10017.619743485546
56 853.3165868491842,2149.8013833604646,2295.0292502854313,4669.068085544136,7764.328517282233,7815.408016164797,9669.133582167411,10445.78705259262,10501.631847180754,11372.89739288405
57 8096.264692035966,9397.212581324233,10267.529422632739,11331.845737732525,12367.169850919641,13516.962926004977
58 3855.074658400442,3872.9846160468246,4699.773192890088,5199.646460934205,5745.629171678642,10706.94312570379,13630.932428359065,13963.098866933771,14860.269225385564
59 474.3192865991712,489.4510539091904,3079.732648634739,7189.306987531996,11219.545105230867,11615.945650930766,13354.518677058564,14873.93675591126
60 2439.306621557385,2553.552648285048,4677.841759729961,6190.998237027057,7452.201331247004,7578.085735059024,9075.610438070826,11686.304559615515
61 1841.2858144777697,6786.570807012329,7397.606085015368,12075.509241717951,12313.31516906967,14429.540384632699,14666.5060527035
62 504.0222359275831,1099.131452752701,3031.98186071131,3090.8475710174857,3810.305606413024,4789.348893770726,5011.819942513282,6386.537121377696
