gid spike-times
0 95.9871992052839,4320.950948366584,5999.684734799088,9510.497545731883,11527.077098204583,12661.788596812276
1 1962.6327286666688,2190.751313741943,5043.919477842224,9562.482178531161,11354.017248138707,11726.709287287353,14983.758824329772
2 1213.4676055956172,2143.509360906713,5390.534660366376,6569.529520608953,12181.526825339392,12232.132103626107,12372.337674811435,13270.948871517827,13424.991217248198,14078.12044332341
3 4228.613034927537,7120.851420787683,8276.956004614058,9318.637073393975,10102.779302207564,11274.355602306714,13417.43085799296
4 1865.6777597424843,2540.5089320160373,4729.196522765444,9106.193946418465
5 1453.1932447177849,1469.938286442052,2016.7354263408574,6356.574896182417,8556.437477341313,14989.20111047403
6 5087.6525746525385,5626.31511451499,6739.161799968877,6929.6843130181915,10760.046198628173,11737.076821459772,12405.009952350172,12756.136862509691,13153.811150602829
7 20.031141012850757,95.80226358897481,4663.867844378334,5045.893369801468,5923.158820859697,6756.990068277473,9842.519560071505,11556.614345289618,11839.113293744476,13868.909171098687
8 197.0280130385221,446.83201666624467,4829.116699620962,5595.116354682181,6481.054291424847,7533.599370641536,12181.151775538036,13761.64601464678
9 3223.195826823001,3309.9379376234374,3470.1358343557245,6194.331886643768,8987.391581029304,11919.531529493153,14051.684571560198,14172.882886616602
10 39.83987103921572,1822.6690934407718,4181.348355283633,4341.8246590915705,4503.662989616897,5915.3660464157965,6300.793566713413,7818.887585533956,9853.576787074437,9879.604028207712,14109.184480337575
11 1767.3713684615363,5640.90758315717,6884.326883488667,7368.487974652295,10358.627433727434
12 889.3988101795527,1877.7863913798442,2446.16600489363,6045.63530439331,10103.448073539723,12005.58469079106
13 1793.275228861956,3529.537837317863,3822.8945011611104,4927.031092159753,11167.379824240817,13422.456572773004
14 3346.5775090550737,3597.241457617336,5521.661332029897,6107.724960438916,9775.9767009877,10112.111251925679,13394.010489520371
15 2719.7641470655826,4077.502633311772,6564.099742786675,8253.602548981902,8914.160373206128,9935.581411082158,10915.559284434985,11080.706268351301,12594.058371883099,12742.016518814418,14070.43888380986
16 2710.3731837016076,3481.4324487722497,4092.8678580408105,4253.84636304746,4924.858175857755,5198.825945865167,5392.224826702942,8476.631236432053
17 4563.527169334739,5001.105890244675,5092.187781960422,6337.097704822122,7686.089138798141,7710.283969260233,9522.883706030556,10230.251459773317,12181.290980638965,12587.214601248623,14359.369426954469
18 305.0333214920058,4682.37986093895,6011.725402736245,7167.417237763448,10537.966289135116
19 310.06460647331494,361.36896390047656,3705.4936001774763,8828.898392695335,9221.066944350467,10016.402841724073,10488.834627773485,12495.094262460168
20 1839.8717818580794,2796.469371137981,8356.552111181933,8789.068915146558,10419.197590684418,10575.217299010525,13853.896628659884,14849.013476189395
21 2231.0729561177027,2635.9102399361886,4093.709069999729,5955.707851577767,9445.533603256978,11190.600037947173,12189.28959503086,12307.370195925203
22 483.7293540971283,699.5804801164944,2124.163801901497,3154.893117391387,3409.09155109918,3823.400995756153,4604.391263901404,5037.782952036305,12503.914507727775,14640.632764043597
23 5218.3802160095,5330.832597372169,8166.998175579145,10903.185989324518,13620.67470252652
24 2527.0674944753323,2974.604254749148,5771.931515598713,10448.736409788564,10809.123074141504,11814.040644932415
25 1432.3062115523396,5533.149806826867,5869.167414731657,6946.176439634228,8003.340215201064,8542.831905317893,10438.302382551055,11794.15184299725,12520.881494559922,14023.985938620397,14087.15715229486,14579.593027859351
26 1838.694306371136,1936.588350050119,3409.3574790328994,8229.255857858687,8244.044745122086,12196.262948872973,14077.048730168483,14429.323021829712
27 1231.412289574289,7310.95481343812,8430.976399318544,8737.678070558004,9804.270192060601,10522.831764960361,10697.763132106327,13877.674850725632
28 8705.390641116814
29 346.17935364103255,2604.026744780208,4080.8311796416056,4191.518399623556,5140.286410592945,11795.984829368925,12544.670374853149,12987.95713899457,14474.34605730887
30 1777.1329424429791,1780.686775586676,3095.0411978707098,3876.078266037863,7440.548389093701,8886.50823873181,9699.691713928534,10183.842855604926,11100.890371946023,13552.26030385981
31 90.21640989366544,1923.1470716179504,5610.738013767123,12375.295531097245,14596.379280907275
32 1859.5679346426666,3129.6295738944527,3690.414737738304,4809.550838004281,4865.623141847804,9004.12697110125,11186.67995398007
33 1620.2289133582426,4513.238158001648,8795.013150773262,9381.998299544059,11784.756944125715
34 2923.3101036387548,3501.74299941527,9751.718459790245,11742.16971526104,12775.933677174406,14466.555314134717
35 256.07018302924126,5014.185455754559,5265.766456382708,8266.80788629564,9587.787272235515,10338.419369749865,14686.986387076568
36 2662.990451081843,2778.7427582297,4463.6751943559675,6386.363897635418,13116.627887585208,13450.067404564023
37 3365.463841419342,5014.3173435486115,5917.753955951166,6791.137184484837,7128.497989760276,7198.829444502503,8026.439844420154,9783.623567313336,9944.072630606704,12008.543072519913,14353.640825521217
38 873.1955128182525,1900.3839300002105,2846.6548378847547,3003.2474308882743,4031.94952599922,5078.622831734374
39 1928.3322615161678,2104.1797411509856,3635.777411275226,4623.903306345486,6056.556500502027,6175.829055998545,6622.625954613302,7551.773336274402,9788.58551506084,14964.165351347154
40 3418.39696770114,4975.787032491515,6392.364621519626,7156.980581974428,12618.040923356113,13854.882288672636
41 2666.7780783002568,3504.3190580441624,5494.953490950564,10557.062099280407,12245.362570287018,14919.917963058775
42 945.3717511392658,1614.0343421675366,2572.4097850814046,4609.548969915877,4739.150469955166,5105.104168958513,5892.686799013949,13760.704999891466
43 2611.111538993592,5425.589603579281,8296.320683750095,13017.48220660627
44 155.67363926319973,4293.043772745456,4647.507609691422,4660.287910873061,5479.77866803444,6559.190879816695,10789.14549857804,11076.317004303275,12127.287632017124,12468.342657122928,13982.251519608479
45 1716.2373621721242,5081.6341434937485,6057.306978532654,6585.966514255189,7111.192783623806,11473.693696112354,12739.538627456574,12915.962740847193,14289.216056194853,14638.037101607706
46 1038.6973149473147,6596.810352132705,8591.590331173433,8946.452181160164,10592.94978130163,12410.61734808193,14792.30002390557,14838.919858947595
47 198.46027224129077,3298.347982833467,6522.2919073856565,7738.163576033037,8554.508629664175,9346.591271819483,9734.16898320685,9847.610743008994,11085.08153472255
48 2191.9016420581856,3622.439525066196,4505.535807414974,9763.538057379683,9830.868120664585,12123.349776910425,13065.29785361793,13456.274587392785
49 4716.635806301636,6258.280304038266,9708.779611977256,12818.378751843571,13428.533195041542,13821.303022145832,14211.400603260035
50 5130.231784427262,5247.494423826002,7248.079879780729,10254.375762611711,10455.892290724312,10629.89445502675,11488.845480857444,14932.054143385863
51 4815.0328742648035,10964.482424591164,11114.032122046956,11351.129715790663,12027.761433278576
52 1433.504059662614,2962.5662301149796,8227.386965628833,8374.244368688262,11411.593980966722,14764.50236975133
53 487.5549445054865,4616.587311737383,4826.027810871201,5326.166823286362,5470.502765749531,6935.488795356057,8230.274674350978
54 377.96383392200136,1168.3908102069652,5554.068518961107,5717.748122373988,6831.745021956853,8597.178261069319,10182.828278669997
55 2816.515380285753,3828.4619061927833,4662.771764553058,5081.726045462762,7662.903170978836,9480.755110169403,12243.278736359867,13421.809631808399
56 2621.4268639968122,5057.39520524016,5314.5393705273345,8532.107216991217,8618.582482816646,14657.975744026398
57 3026.4907699855403,4865.311307321837,5826.6690666849445,10366.579066774215,11177.3206516981,12274.878800251756,12393.29421607765,13976.172271678035
58 51.970782899743845,5737.4162032387885,6533.704024012719,12314.76907326554
59 7644.106771613808,9403.804530879315
60 2281.48051855801,4682.568857154596,4971.755813257014,6151.85997607566,10319.937662662807,10356.489742699503,10877.414361172832,11531.931158079642,13996.824978522289,14799.282712674161
61 62.91381843214637,171.15091491275064,2655.815477439996,5918.704996534571,11731.044881328347,12237.513618376377
62 392.1994092801189,1716.3485844056595,1884.1435211724838,2630.588537630141,4716.89409446545,7067.892722628047,8576.792989518648,9208.285009643085,13363.604924183015,13366.435719301193,14720.670054238522
