gid spike-times
0 2223.7869321395374,2310.2714824326345,4505.1129786443435,9840.345251989062,9841.624985378668,13473.297448861333
1 2141.6707237491355,9752.155100309428,12633.502228438705,14939.559392918874
2 656.4671817518057,2437.2711483898597,9542.21771452715,12581.148070002335,13926.73466272379,14704.973319074243
3 1868.2531017470453,1870.6248302316212,2457.655759420529,5999.901060148092,6524.040583968223,8955.189057758214,10848.645339204355,12522.27424523164,14619.767195885703
4 1646.9926191812704,4178.209956867722,4642.355593137778,6822.380872930805,9472.535667560645,11497.216579239117,12147.052568139177,12663.313907937854,13347.546769514154
5 1791.2652586123716,1936.1593412182528,7144.976481473639,10605.600196786458,10659.259725504555,11018.947179880142,11703.155991595466
6 1948.9632660162545,6211.3468869939425,7259.539568480404,14349.277162557235
7 3421.81413676921,5637.155502112164,6732.825533130238,8109.198317296707,9618.288311759197,11743.049417590417,12570.893267358977,13136.620308677466
8 4313.981796577641,5435.02684736435,7001.420556166167,7478.825595380461,8819.78321594397,8858.878578825963,10970.077518391296,11461.812004509175,11706.289554371786,11996.550950662271,13289.737363462826
9 1178.0966981485603,2204.1356482797473,2453.7114288986168,2469.8127868140978,3066.4407373182676,3773.297280159975,9144.070601473235,12012.575030495997,13914.758838996671,14550.790133679679
10 2885.2597653318517,3889.825850433603,4476.334499524513,5059.9824472288465,5288.972097044034,7282.700492403441,7518.14168773552,8418.744325039133,9859.88890292407,10412.402194346732,12052.587633485433
11 279.1397375970557,1396.197333860151,2894.2714264052297,3865.241908837458,9404.320070400317,11522.275023956026,13288.257956335006,13487.555568756015,13889.900892976511,14335.270984667199
12 1191.5056965126528,2786.898524037012,4680.871651164519,8485.207162424296,11396.90774203702
13 1400.6391811702358,6849.665396586045,8834.494710125522,9507.496087196225,9800.973118442405,10193.745737332989,10197.00300975962
14 965.4853483634398,7672.463397673646,8794.000330639563,11521.134388689192,14772.979926415897
15 458.044731708097,550.9688218450646,4932.264935908354,6683.699523121695,7305.976715482847,8623.992109456645,14252.606637534622,14488.682123044568
16 267.1996310284444,779.9693509870614,3229.9676991333968,5316.268133881339,6675.252588372646,7130.077802497846,10867.372845882539,14325.816937660678
17 113.03338005196676,895.7312418704571,1891.246015769047,2898.2957960072786,3597.6103748997675,6635.277438093644,7461.685541904772,10403.776186365212,10972.92078606411,11887.586375501643
18 2126.862879078385,3603.1730164882647,6509.265569806163,7453.360759023532,10747.4545180684,11061.140829697355,13818.02803213161,14418.174922683796,14478.187357362604
19 739.599345758667,9467.809886181514,10140.618283222113,12666.625040595234,13572.204086300537
20 80.8128355386263,5578.4057422225615,7273.621059840408,8680.015839200865,11343.659699833894,14580.673352524522,14914.052002456874
21 1453.8238289318672,4591.579148161279,5777.643548619203,6563.754021306435,7121.663182928645,7699.835983605208,9836.868837093065,10805.609635638886,11841.044194967704,12976.275792492132
22 897.508491952631,1391.7491149725802,4424.965924355955,6570.011783666259,8498.998286904196,9073.685817359605,12091.648318672338,13232.851711683157
23 3913.9370053092966,4115.547720802515,6460.459634019562,8377.106335450595,9613.699379927464,10142.152019196132,12000.599054290466,12868.225815843682
24 787.0222454240284,2661.611916650671,5639.797609837025,7755.3606858820385,7894.044375341292,13956.499955647912
25 4673.150333900745,6742.795050707194,8057.074796280453,8906.274582264346
26 466.10858214408177,5488.181917172065,8284.253799843882,9963.682588948159,10763.061791657507,12854.11856647858
27 277.70179618510315,5387.084923867171,7271.2876896416765,8518.137138811686,10963.79393255977
28 2585.344573821448,3911.3993526441946,7660.006263330952,8319.789665022585,9613.89942856682,11208.97149960259,12874.139765479127,13363.818771739077,14006.852381386894,14968.010839257227
29 608.0420552718149,2545.807123259984,3225.8646907437883,4830.093840817476,8667.172311598872,9056.087638348212,14269.701234096108
30 3411.8249107395573,4861.800292165106,6320.756418457055,6796.059030009567,8411.604796290048,10641.966392003606,11053.516008358816
31 2708.813268174563,3395.976749848198,3401.8061888513316,3550.690896573536,8091.495742748777,10518.985850946328,11025.468381830635,11663.429142697918,12541.459133844346
32 2155.5451227806243,4160.284106983205,6153.989279597098,7523.196038161372,8032.755247480794,8128.0928754107335,10116.825956353672,11727.373998923733,13552.893922396237
33 164.7491828372786,1704.2965662853287,2254.6525712969346,2505.0264838100125,4636.020775946736
34 424.2628053263732,1985.0331274361354,5550.576330194887,8032.314396616901,8711.45763759637
35 2579.4504857679535,5445.093620504646,7261.09022977829,8817.830945106147,8906.250954614117,10649.325122273018,11567.943080221674,13888.884945048803,14034.311394175851,14772.50036648051
36 707.2421662106682,5492.578610959972,6438.27085577644,6692.31434151376,7847.4083918564165,9094.352715004652,9775.541683703157,13723.66114928876
37 2842.5225861196122,3090.6107926988702,3197.2094821013065,5545.641029881379,9064.396673541334,12079.947940170836,12816.219408333322,12955.285374837975,14833.861604794174
38 1390.250970303301,3121.9104333321156,8213.25344305584,11697.554837868774,12941.778676050972,13476.80187623137
39 4623.552474967475,7048.096378332073,8173.5452349679945,8803.448557494748,9157.812362432007,9336.467727844916,10845.30313349953
40 6155.85800888757,7160.089117632587,9399.885868463052,9498.882787922314,11900.612405983247,14704.204197721047
41 1726.4531398627657,8188.826961666676,9899.865341408486,11792.964605957224
